words,letter
う1う^う 一四四,u
う(ヴ)Acs©五十音園「わ行」の第三の音。®咽喉から4腔へ の通路‘閉V、上®と下齒とか接近Sせ、脣か圆く尖 らゼ、舌の後部^高めて發する母音。®「宇」の草11。ら [免•兎] (畜 [動] うさざ。,u
う [卯] (名)©十二支0一。®方角0一。東方。©昔 の時刻の10今の午前六時。%けむつ。1腹辰股 (句)灸かすAsl:ついて、忌む日と忌.；p部分とか 言った文句口卯の日は腹にマ点す、*®^1'-11®1'-す'&ぬ1のといふ0,u
"う [鵜.鷓鷀] (名)""動] 鵡鷀耔の鳥類0摁稱。形、 烏|:似て大きく、色黑く、背と肩と11一 紫綠•靑綠色®*為 ♦滞を有する。嘴長^kmw r L く末端曲る。河コ 海•湖沼一一樓息\.，しノ^?SW艙 し、能く水な潛っ ^ - / C て魚な捕へみ。し主つどり0 丨の眞似する鴉(初)鴨の眞似な^^Lて水^くぐる鴉は、能く溺れるものであaと0.義 から、自分の働な知らす|:、徒.ら|:人の*似かマる人 は必す失敗マるに瞽へれ諺。",u
う [羽] (se五音の'一。最t澄んで高い音。®っば souno ©烏類。® [地] 羽前國。羽後國0,u
"う3千；3¢¢ [音,-'支那の樂器の一。管か*差I、鳥811 象どっズ排列1，管每|'-*(-がぁる0形,1笙|""-似て ゐるの昔は三十六眢でぁっれがゝ狻三十三眢又は十 七管と«っ,;0",u
う [禹] 奚又一支那夏の始祖❾支那上代の聖主り堯 の時*供水を治め、十三年^經て功成ろ。舜崩じて 後'0--を受けて位に節各-安邑ハ今の山西省解州 う縣>し都し，國かKと铖しれ。會稽で崩御0,u
"う1有] (§e [哲] 有*こと。天地間の贸在。® [佛]  生死6,相續。又、十二®綠の一。愛您の烦惱|:依っ て善惡の行業を後生に镣生さ乜ること。",u
"う {--■*••?} [得] (他動*ア下二)®我*1物とする0 手|;入れ*<う0受1,る0©出來る0ょくする0©成し 速げる0®捕疲マso ©3i*o う {-1niH 得] (自動，7下二)®めふ。あたs。©足る。安んじ*o©巧みでわみ。",u
"う [宇3(名)0?1气,,,1。©天*6四方〇 う [宇}(接尾)建物の數かftらはヤ語。「一—」。",u
う [諾] (感)うべ«ふ意。うん0(古語] ,u
う C憂} (® iし」の略o c古語] ,u
う(助動)未來.推*の意^表11す口語の助動詞。,u
ヴア1ジル [virgilK名) [人] 口-マの敍事詩人。 アゥダスタスの扼な得、そのStrr詩形の美Lsi生 彩と|:富み'*—マーと竝ぴ稱ゼら乜る0其の著作|: 「クゾ」クス」「牧歌集」「Hこヤス物語」「ジォルギカ」 等が so943,u
