9,4,77,4,77,801,9,801
466,4,524,4,524,150,466,150
787,4,850,4,850,330,787,330
981,4,1044,4,1044,1030,981,1030
1112,0,1176,0,1176,1030,1112,1030
1171,0,1239,0,1239,923,1171,923
1300,0,1367,-1,1381,387,1314,390
1362,0,1428,0,1436,1035,1370,1035
2201,9,2264,9,2264,1025,2201,1025
218,38,272,38,272,1025,218,1025
281,38,335,38,335,1035,281,1035
345,38,403,38,403,777,345,777
417,43,466,43,466,1030,417,1030
535,38,592,38,598,1010,540,1011
607,38,660,38,660,495,607,495
660,38,724,38,724,1030,660,1030
928,38,981,38,981,174,928,174
1249,38,1302,38,1302,520,1249,520
1443,38,1496,38,1496,369,1443,369
1502,38,1559,38,1566,1030,1508,1030
1569,38,1624,38,1629,1030,1574,1030
1701,38,1754,38,1754,325,1701,325
92,48,140,48,140,510,92,510
733,43,787,43,787,767,733,767
874,48,913,48,913,243,874,243
1059,43,1112,43,1112,670,1059,670
1764,43,1817,43,1817,1035,1764,1035
1827,48,1866,48,1866,136,1827,136
1890,43,1944,43,1944,174,1890,174
1953,43,2012,43,2012,495,1953,495
2016,43,2075,43,2075,116,2016,116
2084,43,2138,43,2138,1030,2084,1030
160,53,204,53,204,1030,160,1030
1642,53,1686,53,1686,388,1642,388
2143,53,2200,53,2207,1035,2149,1035
2284,58,2332,58,2332,374,2284,374
2342,58,2395,58,2395,1035,2342,1035
466,155,524,155,524,529,466,529
1815,160,1875,159,1891,1029,1831,1031
930,182,967,177,985,304,948,310
1890,174,1944,174,1944,758,1890,758
2007,184,2070,184,2070,1035,2007,1035
865,281,918,281,918,699,865,699
1701,340,1754,340,1754,1030,1701,1030
785,340,850,339,860,1030,794,1031
933,345,981,345,981,427,933,427
1637,388,1691,388,1691,1030,1637,1030
1300,393,1365,393,1370,1030,1306,1030
928,486,981,486,981,1025,928,1025
607,515,660,515,660,1030,607,1030
1958,515,2012,515,2012,1035,1958,1035
486,549,505,549,505,597,486,597
471,617,529,617,529,1035,471,1035
865,748,918,748,918,991,865,991
1905,787,1919,787,1919,855,1905,855
354,792,398,792,398,1035,354,1035
733,797,782,797,782,1030,733,1030
1885,860,1948,860,1948,1035,1885,1035
